,brief,full
REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME,Transcription of the HIV genome, 
REACTOME_TRANSCRIPTIONAL_ACTIVATION_OF_MITOCHONDRIAL_BIOGENESIS,Transcriptional activation of mitochondrial biogenesis, 
REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer, 
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_E2F6,Transcriptional Regulation by E2F6, 
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_MECP2,Transcriptional Regulation by MECP2, 
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,Transcriptional regulation by RUNX1, 
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2,Transcriptional regulation by RUNX2, 
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3,Transcriptional regulation by RUNX3, 
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS,Transcriptional regulation by small RNAs, 
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_THE_AP_2_TFAP2_FAMILY_OF_TRANSCRIPTION_FACTORS,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors, 
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,Transcriptional Regulation by TP53, 
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_VENTX,Transcriptional Regulation by VENTX, 
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS,Transcriptional regulation of granulopoiesis, 
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS,Transcriptional regulation of pluripotent stem cells, 
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_TESTIS_DIFFERENTIATION,Transcriptional regulation of testis differentiation, 
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION,Transcriptional regulation of white adipocyte differentiation, 
REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING,Transferrin endocytosis and recycling, 
REACTOME_TRANSLATION,Translation, 
REACTOME_TRANSLATION_OF_REPLICASE_AND_ASSEMBLY_OF_THE_REPLICATION_TRANSCRIPTION_COMPLEX,Translation of Replicase and Assembly of the Replication Transcription Complex, 
REACTOME_TRANSLATION_OF_SARSCOV1_STRUCTURAL_PROTEINS,Translation of SARS-CoV-1 Structural Proteins, 
REACTOME_TRANSLATION_OF_SARSCOV2_STRUCTURAL_PROTEINS,Translation of SARS-CoV-2 Structural Proteins, 
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH,Translesion Synthesis by POLH, 
REACTOME_TRANSLESION_SYNTHESIS_BY_POLK,Translesion synthesis by POLK, 
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template, 
REACTOME_TRANSLOCATION_OF_SLC2A4_GLUT4_TO_THE_PLASMA_MEMBRANE,Translocation of SLC2A4 (GLUT4) to the plasma membrane, 
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,Transmission across Chemical Synapses, 
REACTOME_TRANSPORT_AND_SYNTHESIS_OF_PAPS,Transport and synthesis of PAPS, 
REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS,"Transport of bile salts and organic acids, metal ions and amine compounds", 
REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE,Transport of connexons to the plasma membrane, 
REACTOME_TRANSPORT_OF_FATTY_ACIDS,Transport of fatty acids, 
REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES,Transport of inorganic cations/anions and amino acids/oligopeptides, 
REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS,Transport of Mature mRNAs Derived from Intronless Transcripts, 
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM,Transport of Mature Transcript to Cytoplasm, 
REACTOME_TRANSPORT_OF_NUCLEOSIDES_AND_FREE_PURINE_AND_PYRIMIDINE_BASES_ACROSS_THE_PLASMA_MEMBRANE,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane, 
REACTOME_TRANSPORT_OF_NUCLEOTIDE_SUGARS,Transport of nucleotide sugars, 
REACTOME_TRANSPORT_OF_ORGANIC_ANIONS,Transport of organic anions, 
REACTOME_TRANSPORT_OF_RCBL_WITHIN_THE_BODY,Transport of RCbl within the body, 
REACTOME_TRANSPORT_OF_SMALL_MOLECULES,Transport of small molecules, 
REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA,Transport of the SLBP Dependant Mature mRNA, 
REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES,"Transport of vitamins, nucleosides, and related molecules", 
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION,Transport to the Golgi and subsequent modification, 
REACTOME_TRIF_MEDIATED_PROGRAMMED_CELL_DEATH,TRIF-mediated programmed cell death, 
REACTOME_TRIGLYCERIDE_BIOSYNTHESIS,Triglyceride biosynthesis, 
REACTOME_TRIGLYCERIDE_CATABOLISM,Triglyceride catabolism, 
REACTOME_TRIGLYCERIDE_METABOLISM,Triglyceride metabolism, 
REACTOME_TRISTETRAPROLIN_TTP_ZFP36_BINDS_AND_DESTABILIZES_MRNA,"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA", 
REACTOME_TRNA_AMINOACYLATION,tRNA Aminoacylation, 
REACTOME_TRNA_MODIFICATION_IN_THE_MITOCHONDRION,tRNA modification in the mitochondrion, 
REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL,tRNA modification in the nucleus and cytosol, 
REACTOME_TRNA_PROCESSING,tRNA processing, 
REACTOME_TRNA_PROCESSING_IN_THE_MITOCHONDRION,tRNA processing in the mitochondrion, 
REACTOME_TRNA_PROCESSING_IN_THE_NUCLEUS,tRNA processing in the nucleus, 
REACTOME_TRP_CHANNELS,TRP channels, 
REACTOME_TRYPTOPHAN_CATABOLISM,Tryptophan catabolism, 
REACTOME_TYPE_I_HEMIDESMOSOME_ASSEMBLY,Type I hemidesmosome assembly, 
REACTOME_TYROSINE_CATABOLISM,Tyrosine catabolism, 
REACTOME_TYSND1_CLEAVES_PEROXISOMAL_PROTEINS,TYSND1 cleaves peroxisomal proteins, 
REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES,Ub-specific processing proteases, 
REACTOME_UBIQUINOL_BIOSYNTHESIS,Ubiquinol biosynthesis, 
REACTOME_UCH_PROTEINASES,UCH proteinases, 
REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION,"Unblocking of NMDA receptors, glutamate binding and activation", 
REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,Unfolded Protein Response (UPR), 
REACTOME_UNWINDING_OF_DNA,Unwinding of DNA, 
REACTOME_UPTAKE_AND_ACTIONS_OF_BACTERIAL_TOXINS,Uptake and actions of bacterial toxins, 
REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS,Uptake and function of anthrax toxins, 
REACTOME_UPTAKE_AND_FUNCTION_OF_DIPHTHERIA_TOXIN,Uptake and function of diphtheria toxin, 
REACTOME_UPTAKE_OF_DIETARY_COBALAMINS_INTO_ENTEROCYTES,Uptake of dietary cobalamins into enterocytes, 
REACTOME_UREA_CYCLE,Urea cycle, 
REACTOME_VASOPRESSIN_LIKE_RECEPTORS,Vasopressin-like receptors, 
REACTOME_VASOPRESSIN_REGULATES_RENAL_WATER_HOMEOSTASIS_VIA_AQUAPORINS,Vasopressin regulates renal water homeostasis via Aquaporins, 
REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS,VEGF ligand-receptor interactions, 
REACTOME_VEGFR2_MEDIATED_CELL_PROLIFERATION,VEGFR2 mediated cell proliferation, 
REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY,VEGFR2 mediated vascular permeability, 
REACTOME_VESICLE_MEDIATED_TRANSPORT,Vesicle-mediated transport, 
REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS,Viral Messenger RNA Synthesis, 
REACTOME_VISUAL_PHOTOTRANSDUCTION,Visual phototransduction, 
REACTOME_VITAMIN_B1_THIAMIN_METABOLISM,Vitamin B1 (thiamin) metabolism, 
REACTOME_VITAMIN_B2_RIBOFLAVIN_METABOLISM,Vitamin B2 (riboflavin) metabolism, 
REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM,Vitamin B5 (pantothenate) metabolism, 
REACTOME_VITAMIN_C_ASCORBATE_METABOLISM,Vitamin C (ascorbate) metabolism, 
REACTOME_VITAMIN_D_CALCIFEROL_METABOLISM,Vitamin D (calciferol) metabolism, 
REACTOME_VITAMINS,Vitamins, 
REACTOME_VLDL_ASSEMBLY,VLDL assembly, 
REACTOME_VLDL_CLEARANCE,VLDL clearance, 
REACTOME_VLDLR_INTERNALISATION_AND_DEGRADATION,VLDLR internalisation and degradation, 
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS,Voltage gated Potassium channels, 
REACTOME_VXPX_CARGO_TARGETING_TO_CILIUM,VxPx cargo-targeting to cilium, 
REACTOME_WAX_AND_PLASMALOGEN_BIOSYNTHESIS,Wax and plasmalogen biosynthesis, 
REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD2_FZD5_AND_ROR2,"WNT5A-dependent internalization of FZD2, FZD5 and ROR2", 
REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD4,WNT5A-dependent internalization of FZD4, 
REACTOME_WNT_LIGAND_BIOGENESIS_AND_TRAFFICKING,WNT ligand biogenesis and trafficking, 
REACTOME_WNT_MEDIATED_ACTIVATION_OF_DVL,WNT mediated activation of DVL, 
REACTOME_XENOBIOTICS,Xenobiotics, 
REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION,YAP1- and WWTR1 (TAZ)-stimulated gene expression, 
REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS,ZBP1(DAI) mediated induction of type I IFNs, 
REACTOME_ZINC_EFFLUX_AND_COMPARTMENTALIZATION_BY_THE_SLC30_FAMILY,Zinc efflux and compartmentalization by the SLC30 family, 
REACTOME_ZINC_INFLUX_INTO_CELLS_BY_THE_SLC39_GENE_FAMILY,Zinc influx into cells by the SLC39 gene family, 
REACTOME_ZINC_TRANSPORTERS,Zinc transporters, 
